id,city,month,avg_high_tem,avg_low_tem,extreme_high_tem,extreme_low_tem,avg_air_quality,best_air,best_air_date,worst_air,worst_air_date
37621,西安,2011年01月历史天气,0℃,-5℃,4℃,-8℃,0,0,01/01,0,01/01
37622,咸阳,2022年04月历史天气,23℃,9℃,31℃,4℃,74,34,04/02,115,04/01
37623,咸阳,2022年03月历史天气,17℃,5℃,26℃,-2℃,128,41,03/12,215,03/15
37624,咸阳,2022年02月历史天气,7℃,-1℃,17℃,-5℃,123,35,02/19,212,02/15
37625,咸阳,2022年01月历史天气,6℃,-2℃,11℃,-5℃,133,49,01/13,217,01/17
37626,咸阳,2021年12月历史天气,7℃,-3℃,12℃,-7℃,131,42,12/16,220,12/10
37627,咸阳,2021年11月历史天气,13℃,1℃,19℃,-7℃,84,19,11/06,150,11/27
37628,咸阳,2021年10月历史天气,16℃,8℃,27℃,3℃,51,13,10/06,90,10/30
37629,咸阳,2021年09月历史天气,24℃,17℃,32℃,14℃,38,8,09/18,68,09/03
37630,咸阳,2021年08月历史天气,29℃,20℃,39℃,16℃,34,12,08/31,56,08/03
37631,咸阳,2021年07月历史天气,32℃,22℃,38℃,19℃,42,12,07/11,72,07/09
37632,咸阳,2021年06月历史天气,30℃,20℃,37℃,12℃,60,13,06/17,108,06/06
37633,咸阳,2021年05月历史天气,26℃,14℃,36℃,9℃,71,14,05/15,129,05/07
37634,咸阳,2021年04月历史天气,17℃,8℃,31℃,5℃,73,20,04/24,127,04/15
37635,咸阳,2021年03月历史天气,15℃,5℃,24℃,-2℃,278,57,03/11,500,03/16
37636,咸阳,2021年02月历史天气,12℃,0℃,25℃,-4℃,222,47,02/24,397,02/11
37637,咸阳,2021年01月历史天气,7℃,-3℃,16℃,-11℃,214,68,01/16,360,01/24
37638,咸阳,2020年12月历史天气,4℃,-3℃,10℃,-9℃,169,49,12/29,290,12/22
37639,咸阳,2020年11月历史天气,12℃,4℃,21℃,-2℃,114,21,11/21,207,11/15
37640,咸阳,2020年10月历史天气,16℃,9℃,22℃,4℃,113,19,10/13,208,10/25
37641,咸阳,2020年09月历史天气,26℃,16℃,34℃,11℃,63,22,09/20,104,09/25
37642,咸阳,2020年08月历史天气,28℃,21℃,33℃,18℃,52,19,08/30,86,08/25
37643,咸阳,2020年07月历史天气,29℃,21℃,37℃,19℃,68,11,07/25,125,07/08
37644,咸阳,2020年06月历史天气,29℃,19℃,36℃,15℃,61,22,06/28,101,06/04
37645,咸阳,2020年05月历史天气,29℃,15℃,38℃,9℃,80,31,05/07,129,05/04
37646,咸阳,2020年04月历史天气,22℃,8℃,33℃,4℃,74,24,04/10,125,04/13
37647,咸阳,2020年03月历史天气,17℃,5℃,27℃,-1℃,156,24,03/28,289,03/09
37648,咸阳,2020年02月历史天气,11℃,0℃,18℃,-5℃,110,19,02/27,202,02/11
37649,咸阳,2020年01月历史天气,5℃,-2℃,9℃,-5℃,209,89,01/05,329,01/04
37650,咸阳,2019年12月历史天气,7℃,-1℃,12℃,-6℃,226,59,12/30,394,12/22
37651,咸阳,2019年11月历史天气,11℃,4℃,18℃,-2℃,155,36,11/24,274,11/21
37652,咸阳,2019年10月历史天气,18℃,10℃,28℃,6℃,85,11,10/04,159,10/29
37653,咸阳,2019年09月历史天气,24℃,16℃,32℃,12℃,54,14,09/14,95,09/08
37654,咸阳,2019年08月历史天气,30℃,22℃,36℃,18℃,63,16,08/20,111,08/12
37655,咸阳,2019年07月历史天气,31℃,21℃,37℃,18℃,59,18,07/19,101,07/05
37656,咸阳,2019年06月历史天气,29℃,20℃,35℃,17℃,57,24,06/20,90,06/03
37657,咸阳,2019年05月历史天气,24℃,14℃,36℃,9℃,192,34,05/28,350,05/12
37658,咸阳,2019年04月历史天气,23℃,11℃,31℃,3℃,214,28,04/15,400,04/24
37659,咸阳,2019年03月历史天气,17℃,4℃,27℃,0℃,220,41,03/17,400,03/20
37660,咸阳,2019年02月历史天气,7℃,-1℃,14℃,-7℃,193,70,02/03,317,02/20
37661,咸阳,2019年01月历史天气,4℃,-4℃,11℃,-8℃,229,55,01/15,403,01/02
37662,咸阳,2018年12月历史天气,4℃,-3℃,12℃,-7℃,226,52,12/08,400,12/02
37663,咸阳,2018年11月历史天气,12℃,2℃,21℃,-2℃,217,34,11/05,400,11/26
37664,咸阳,2018年10月历史天气,20℃,8℃,25℃,4℃,68,28,10/01,108,10/23
37665,咸阳,2018年09月历史天气,23℃,15℃,33℃,9℃,43,23,09/25,63,09/01
37666,咸阳,2018年08月历史天气,33℃,24℃,37℃,20℃,54,23,08/22,86,08/06
37667,咸阳,2018年07月历史天气,31℃,23℃,39℃,17℃,51,21,07/04,82,07/07
37668,咸阳,2018年06月历史天气,31℃,19℃,38℃,14℃,47,21,06/26,73,06/29
37669,咸阳,2018年05月历史天气,26℃,14℃,35℃,9℃,84,30,05/11,138,05/07
37670,咸阳,2018年04月历史天气,23℃,10℃,34℃,2℃,130,33,04/13,228,04/10
37671,咸阳,2018年03月历史天气,18℃,6℃,29℃,0℃,144,33,03/04,255,03/10
37672,咸阳,2018年02月历史天气,9℃,-1℃,22℃,-8℃,134,39,02/11,230,02/17
37673,咸阳,2018年01月历史天气,2℃,-6℃,10℃,-11℃,210,38,01/28,383,01/01
37674,咸阳,2017年12月历史天气,8℃,-3℃,14℃,-7℃,173,34,12/08,313,12/28
37675,咸阳,2017年11月历史天气,13℃,2℃,21℃,-3℃,206,0,11/01,412,11/17
37676,咸阳,2017年10月历史天气,14℃,8℃,21℃,0℃,0,0,10/01,0,10/01
37677,咸阳,2017年09月历史天气,24℃,16℃,29℃,11℃,0,0,09/01,0,09/01
37678,咸阳,2017年08月历史天气,29℃,20℃,37℃,13℃,0,0,08/01,0,08/01
37679,咸阳,2017年07月历史天气,35℃,23℃,40℃,17℃,0,0,07/01,0,07/01
37680,咸阳,2017年06月历史天气,30℃,18℃,36℃,12℃,0,0,06/01,0,06/01
37681,咸阳,2017年05月历史天气,27℃,13℃,35℃,8℃,0,0,05/01,0,05/01
37682,咸阳,2017年04月历史天气,21℃,9℃,30℃,4℃,0,0,04/01,0,04/01
37683,咸阳,2017年03月历史天气,13℃,2℃,20℃,-2℃,0,0,03/01,0,03/01
37684,咸阳,2017年02月历史天气,9℃,-1℃,17℃,-7℃,0,0,02/01,0,02/01
37685,咸阳,2017年01月历史天气,5℃,-3℃,8℃,-11℃,0,0,01/01,0,01/01
37686,咸阳,2016年12月历史天气,8℃,-1℃,15℃,-5℃,0,0,12/01,0,12/01
37687,咸阳,2016年11月历史天气,12℃,1℃,20℃,-4℃,0,0,11/01,0,11/01
37688,咸阳,2016年10月历史天气,17℃,10℃,29℃,3℃,0,0,10/01,0,10/01
37689,咸阳,2016年09月历史天气,25℃,15℃,33℃,13℃,0,0,09/01,0,09/01
37690,咸阳,2016年08月历史天气,32℃,22℃,37℃,15℃,0,0,08/01,0,08/01
37691,咸阳,2016年07月历史天气,32℃,22℃,38℃,18℃,0,0,07/01,0,07/01
37692,咸阳,2016年06月历史天气,31℃,19℃,38℃,15℃,0,0,06/01,0,06/01
37693,咸阳,2016年05月历史天气,25℃,14℃,33℃,7℃,0,0,05/01,0,05/01
37694,咸阳,2016年04月历史天气,22℃,10℃,30℃,5℃,0,0,04/01,0,04/01
37695,咸阳,2016年03月历史天气,15℃,4℃,25℃,-2℃,0,0,03/01,0,03/01
37696,咸阳,2016年02月历史天气,9℃,-2℃,19℃,-10℃,0,0,02/01,0,02/01
37697,咸阳,2016年01月历史天气,4℃,-5℃,12℃,-15℃,0,0,01/01,0,01/01
37698,咸阳,2015年12月历史天气,7℃,-3℃,12℃,-10℃,0,0,12/01,0,12/01
37699,咸阳,2015年11月历史天气,12℃,4℃,16℃,-4℃,0,0,11/01,0,11/01
37700,咸阳,2015年10月历史天气,19℃,8℃,25℃,2℃,0,0,10/01,0,10/01
37701,咸阳,2015年09月历史天气,25℃,16℃,31℃,11℃,0,0,09/01,0,09/01
